i=12, j=1, k=3, Temperature=30.9147
i=13, j=1, k=3, Temperature=27.7997
i=14, j=1, k=3, Temperature=25.518
i=15, j=1, k=3, Temperature=23.3555
i=16, j=1, k=3, Temperature=21.3233
i=0, j=1, k=4, Temperature=16.6119
i=1, j=1, k=4, Temperature=19.524
i=2, j=1, k=4, Temperature=22.462
i=3, j=1, k=4, Temperature=25.4821
i=4, j=1, k=4, Temperature=29.5498
i=5, j=1, k=4, Temperature=33.721
i=6, j=1, k=4, Temperature=36.3447
i=7, j=1, k=4, Temperature=37.7169
i=8, j=1, k=4, Temperature=39.1632
i=9, j=1, k=4, Temperature=37.6605
i=10, j=1, k=4, Temperature=36.4014
i=11, j=1, k=4, Temperature=34.168
i=12, j=1, k=4, Temperature=30.9052
i=13, j=1, k=4, Temperature=27.7879
i=14, j=1, k=4, Temperature=25.5081
i=15, j=1, k=4, Temperature=23.3497
i=16, j=1, k=4, Temperature=21.3226
i=0, j=1, k=5, Temperature=19.4949
i=1, j=1, k=5, Temperature=20.8583
i=2, j=1, k=5, Temperature=22.2832
i=3, j=1, k=5, Temperature=23.7642
i=4, j=1, k=5, Temperature=25.7455
i=5, j=1, k=5, Temperature=28.9624
i=6, j=1, k=5, Temperature=31.0835
i=7, j=1, k=5, Temperature=32.2161
i=8, j=1, k=5, Temperature=33.3947
i=9, j=1, k=5, Temperature=32.2199
i=10, j=1, k=5, Temperature=31.106
i=11, j=1, k=5, Temperature=29.1395
i=12, j=1, k=5, Temperature=26.2884
i=13, j=1, k=5, Temperature=24.6848
i=14, j=1, k=5, Temperature=23.4784
i=15, j=1, k=5, Temperature=22.3137
i=16, j=1, k=5, Temperature=21.2062
i=0, j=1, k=6, Temperature=19.497
i=1, j=1, k=6, Temperature=20.8568
i=2, j=1, k=6, Temperature=22.2674
i=3, j=1, k=6, Temperature=23.7354
i=4, j=1, k=6, Temperature=25.7182
i=5, j=1, k=6, Temperature=28.8651
i=6, j=1, k=6, Temperature=30.9567
i=7, j=1, k=6, Temperature=32.0587
i=8, j=1, k=6, Temperature=33.1967
i=9, j=1, k=6, Temperature=32.0633
i=10, j=1, k=6, Temperature=30.9771
i=11, j=1, k=6, Temperature=29.0292
i=12, j=1, k=6, Temperature=26.2298
i=13, j=1, k=6, Temperature=24.6096
